symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
VPN,VPNCoin,2014-11-23,2014-07-22,2014-11-23,vpncoin,1,302,7,124
HUGE,BigCoin,2015-04-24,2014-09-19,2015-04-24,hardforkcoin,1,417,23,266
DCYP,DarkCypher,2015-10-24,2015-10-06,2015-10-24,Atomictie,1,42,1,20
BANX,BanxShares,2014-09-30,2014-10-06,2014-09-30,MarkLyford,1,19,4,505
NEOS,NeosCoin,2014-08-25,2014-08-18,2014-08-25,twoturtles,1,172,3,208
STV,Sativacoin,2014-10-20,2014-09-21,2014-10-20,sativacoin,1,38,1,29
ZRC,ZiftrCOIN,2015-03-03,2015-03-18,2015-03-03,gnargnar,1,105,0,302
RZR,Razor,2014-06-21,2014-06-08,2014-06-21,RazorTech,1,39,1,13
STR,StarCoin,2014-02-02,2013-07-19,2014-02-02,nzdude,1,79,12,238
CZC,CzechCrownCoin,2014-10-20,2014-07-27,2014-10-20,CzechCrowCoinDev,1,2,2,85
ABY,ArtByte,2014-06-12,2014-03-06,2014-06-12,First.Bitcoins,1,181,39,124
EXCL,ExclusiveCoin,2014-09-30,2014-09-06,2014-09-30,kingscrown,1,688,29,259
CACH,CacheCoin,2014-02-15,2014-01-05,2014-02-15,kalgecin,1,296,6,282
JINN,Jinn,2014-10-03,2014-09-25,2014-10-03,devphp,1,1102,18,263
PND,Pandacoin,2014-02-27,2014-02-11,2014-02-27,sevoque,1,515,18,77
GB,GreenBacks,2014-08-23,2014-08-15,2014-08-23,GreenBacksTeam,1,150,2,32
QRK,Quark,2013-08-25,2013-01-01,2013-08-25,xorxor,1,453,11,236
XQN,Quotient,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
LIT,Lightcoin,2014-07-05,2014-06-12,2014-07-05,Lightcoinproject,1,34,1,23
GHC,GamerholicCoin,2014-10-10,2014-09-25,2014-10-10,coinweaver,1,154,5,238
XUP,UPcoin,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
ZNY,Bitzeny,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
SAK,Sharkcoin,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
PRC,ProsperCoin,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
MEOW,Kittehcoin,2014-01-24,2013-12-24,2014-01-24,lonestar108,1,26,2,71
PRT,Particle,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
CHA,Chancecoin,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
CHC,ChainCoin,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
MRY,Murraycoin,2014-03-03,2014-01-15,2014-03-03,crike,1,511,6,99
JAY,Jay,2015-04-17,2011-09-04,2015-04-17,mizerydearia,1,416,61,1737
MMNXT,MMNXT,2014-10-22,2014-11-10,2014-10-22,sasha35625,1,0,0,-19
URO,Uro,2014-06-12,2014-01-27,2014-06-12,ubi4doges,1,57,1,136
MRS,Marscoin,2014-02-24,2014-01-27,2014-02-24,atleticofa,1,407,7,100
QBK,Qibuck,2014-08-17,2014-07-09,2014-08-17,ABC Dev Team,1,25,1,39
MRC,microCoin,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
UTIL,UtilityCoin,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
VIA,Viacoin,2014-07-18,2014-06-10,2014-07-18,btcdrak,1,196,5,410
DBL,Doubloons,2013-07-04,2013-05-15,2013-07-04,shakezula,1,588,25,74
MMBTCD,MMBTCD,2015-07-07,2015-09-03,2015-07-07,sasha35625,1,39,3,239
SFR,SaffronCoin,2014-06-15,2014-03-26,2014-06-15,CryptoSpecs,1,10,1,81
8BIT,8Bit,2015-04-18,2011-06-11,2015-04-18,piecesofeight,1,6,3,1407
APC,Applecoin,2014-02-09,2013-11-18,2014-02-09,KunningLinguist,1,82,9,99
NIRO,Nexus,2015-01-25,2014-06-19,2015-01-25,KryptoKash,1,84,2,220
PYC,Paycoin,2014-12-06,2013-01-01,2014-12-06,xorxor,1,492,13,704
GREXIT,Grexit,2015-07-23,2014-02-16,2015-07-23,DNotes,1,151,4,522
KORE,KoreCoin,2014-06-21,2014-06-15,2014-06-21,KoreCoin,1,135,1,6
FRDC,FreedomCoin,2015-09-21,2015-09-06,2015-09-21,placebo,1,6889,159,623
XLB,Libertycoin,2014-05-13,2014-05-08,2014-05-13,Libertycoin,1,67,6,62
NXTCOINSCO,Tradebots,2014-10-04,2014-08-30,2014-10-04,jl777,1,566,7,285
SWING,Swing,2015-09-28,2011-05-27,2015-09-28,Imnotadoctor,1,9,1,1585
NEU,NeuCoin,2015-09-25,2015-04-15,2015-09-25,Sandrine89,1,33,2,234
SLING,Sling,2015-04-21,2013-11-29,2015-04-21,DGulari,1,88,15,520
PLNC,PLNcoin,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
CAIX,CAIx,2014-04-15,2014-03-13,2014-04-15,Caishen_Project,1,20,1,33
PKB,ParkByte,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
PSEUD,PseudoCash,2014-07-21,2014-07-03,2014-07-21,pseudocoin,1,74,3,18
CAID,Coinaid,2015-09-15,2014-11-19,2015-09-15,BitcoinNational,1,1002,14,1098
NLG,Gulden,2014-04-08,2014-04-02,2014-04-08,guldencoin,1,30,1,6
TENNET,TenneT,2015-08-10,2015-06-07,2015-08-10,DarkTron Team,1,141,2,64
GCC,GuccioneCoin,2015-08-20,2015-06-25,2015-08-20,GCCTeam1,1,80,1,56
DOGED,DogeCoinDark,2014-10-25,2014-10-09,2014-10-25,Dogedarkdev,1,46,2,16
WOP,WorldPay,2015-10-12,2015-10-07,2015-10-12,WorldPay,1,25,1,5
CSC,CasinoCoin,2013-07-25,2013-01-01,2013-07-25,xorxor,1,401,11,205
GCN,GCoin,2014-11-16,2014-04-04,2014-11-16,Mr G,1,20,1,226
SHA,SHACoin,2014-06-25,2014-03-12,2014-06-25,SHACoin,1,57,2,105
LTD,LimitedCoin,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
SHADE,ShadeCoin,2014-09-06,2014-09-04,2014-09-06,iShade,1,18,1,2
RT2,RotoCoin,2014-03-29,2014-03-15,2014-03-29,Rotocoin,1,101,2,14
MONETA,Moneta,2015-10-24,2014-01-07,2015-10-24,Mogui,1,74,6,669
CAGE,CageCoin,2014-04-15,2014-01-01,2014-04-15,Nicolas_Cage,1,19,3,104
LEAF,LeafCoin,2014-02-02,2013-12-03,2014-02-02,united-scrypt-coin,1,38,2,64
BTS,BitShares,2014-07-21,2014-01-23,2014-07-21,Bit510,1,32,7,220
XCE,Cerium,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
XCH,ClearingHouse,2014-10-04,2014-08-07,2014-10-04,btcdrak,1,406,9,488
DOGE,Dogecoin,2013-12-15,2013-01-01,2013-12-15,xorxor,1,481,13,348
XCN,Cryptonite,2014-08-02,2014-07-18,2014-08-02,Cryptonite XCN,1,3,1,15
BTX,BitcoinTX,2015-04-26,2015-04-27,2015-04-26,placebo,1,5526,153,475
MOON,Mooncoin,2014-01-06,2011-09-28,2014-01-06,lightlord,1,277,34,840
BTE,Bytecoin,2013-05-10,2013-01-01,2013-05-10,xorxor,1,317,9,129
BTG,Bitgem,2013-07-04,2013-01-01,2013-07-04,xorxor,1,401,11,184
MGW,MGW,2014-08-22,2013-05-05,2014-08-22,AlexMerced,1,118,19,488
BTC,Bitcoin,2013-04-28,2010-02-05,2013-04-28,NewLibertyStandard,1,149,12,1195
BTB,BitBar,2013-05-09,2013-01-01,2013-05-09,xorxor,1,317,9,128
BTM,Bitmark,2014-08-19,2014-06-21,2014-08-19,coinsolidation,1,569,37,65
XCASH,XCash,2014-09-11,2013-12-29,2014-09-11,musty97,1,57,5,266
JBS,Jumbucks,2014-09-07,2014-09-01,2014-09-07,jyap,1,28,1,113
ISR,Isracoin,2014-04-08,2014-03-24,2014-04-08,IsraelCoin,1,34,3,15
SPHR,Sphere,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
MUE,MonetaryUnit,2014-11-01,2014-08-24,2014-11-01,vfrGT65Nha,1,1,1,69
CURE,CureCoin,2014-05-26,2013-08-07,2014-05-26,cygnusxi,1,259,23,408
BAY,BitBay,2014-11-16,2014-10-30,2014-11-16,BitBay Team,1,107,2,17
ISL,IslaCoin,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
DGB,DigiByte,2014-02-06,2014-01-10,2014-02-06,DigiByte,1,166,12,39
DGC,Digitalcoin,2013-06-09,2013-01-01,2013-06-09,xorxor,1,363,10,159
ECC,ECCoin,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,965,44,110
CRT,CRTCoin,2014-05-11,2014-04-03,2014-05-11,digitaldj,1,1,1,38
BITB,BitBean,2015-02-18,2015-01-06,2015-02-18,nokat,1,36,2,43
ASC,AsicCoin,2013-12-31,2013-01-01,2013-12-31,xorxor,1,491,13,364
BITZ,Bitz,2015-03-08,2011-05-26,2015-03-08,bitz,1,6,1,1382
KUMA,Kumacoin,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
X2,X2,2015-12-15,2010-12-28,2015-12-15,Nefario,1,362,21,1813
QTL,Quatloo,2014-07-12,2014-03-21,2014-07-12,ThePeePs,1,117,1,128
BITS,Bitstar,2014-04-23,2014-04-17,2014-04-23,Bitstar_coin,1,53,1,6
JKC,Junkcoin,2013-06-14,2013-01-01,2013-06-14,xorxor,1,379,10,164
FRC,Freicoin,2013-05-03,2012-11-15,2013-05-03,dreamwatcher,1,343,7,281
VTC,Vertcoin,2014-01-20,2013-03-07,2014-01-20,tacotime,1,1465,45,888
DUO,ParallelCoin,2015-10-24,2014-08-02,2015-10-24,Parallaxis,1,17,1,448
FRK,Franko,2013-06-09,2013-01-01,2013-06-09,xorxor,1,363,10,159
XC,XCurrency,2014-05-23,2014-05-29,2014-05-23,Teka,1,318,11,416
DUB,Dubstep,2015-06-30,2015-11-30,2015-06-30,lentzaj,1,38,0,112
SSD,Sonic,2014-08-12,2014-08-24,2014-08-12,argakiig,1,186,7,233
EUC,Eurocoin,2015-08-23,2013-12-30,2015-08-23,tyz,1,687,40,632
UNB,UnbreakableCoin,2014-05-23,2014-03-02,2014-05-23,madman5844,1,21,3,110
VTR,vTorrent,2014-12-25,2014-12-11,2014-12-25,vtorrent,1,75,1,14
CARB,Carboncoin,2014-08-02,2014-02-14,2014-08-02,carboncoin,1,18,1,169
CLV,CleverCoin,2015-05-13,2015-05-08,2015-05-13,clevercryptodev,1,14,1,5
BBR,Boolberry,2014-06-24,2014-04-20,2014-06-24,crypto_zoidberg,1,214,6,208
CLR,Copperlark,2013-11-03,2013-07-03,2013-11-03,icreator,1,37,1,149
UNO,Unobtanium,2013-12-21,2013-10-17,2013-12-21,Blazr2,1,60,5,142
SCRT,SecretCoin,2015-11-16,2015-08-25,2015-11-16,TeamSecret,1,105,1,83
ZED,Zedcoin,2014-03-06,2014-01-17,2014-03-06,MUBBLE86,1,397,3,95
HVC,Heavycoin,2014-03-12,2013-12-30,2014-03-12,1gh,1,29,1,72
CRAVE,Crave,2015-03-26,2013-03-10,2015-03-26,Kluge,1,698,15,1392
ZET,Zetacoin,2013-09-10,2013-01-01,2013-09-10,xorxor,1,453,11,252
INFX,Influxcoin,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
MAZE,MazeCoin,2015-10-19,2015-09-24,2015-10-19,plastcom,1,100,1,62
BITCNY,bitCNY,2014-09-23,2014-08-25,2014-09-23,instacash,1,939,16,298
VTA,Virtacoin,2014-08-09,2014-07-02,2014-08-09,misocialnetwork,1,26,1,92
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,AmsterdamCoin,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,DuckDuckCoin,2014-02-22,2014-02-04,2014-02-22,mainduck,1,42,1,18
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,DigitalPrice,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CESC,CryptoEscudo,2014-04-03,2014-03-20,2014-04-03,cryptoescudo,1,17,1,14
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,PotCoin,2014-02-10,2014-01-17,2014-02-10,PotCoin,1,23,6,24
POP,PopularCoin,2014-04-23,2014-01-29,2014-04-23,inmean,1,100,5,84
CYC,Conspiracycoin,2014-07-05,2014-04-29,2014-07-05,Cryddit,1,354,16,311
TGC,Tigercoin,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,213,24,211
TIPS,FedoraCoin,2013-12-31,2013-05-26,2013-12-31,maxpower,1,226,2,239
NODE,Node,2014-09-13,2010-01-11,2014-09-13,The Madhatter,1,163,8,1706
BITGOLD,bitGold,2015-01-04,2011-05-07,2015-01-04,jtimon,1,505,12,1444
RBY,Rubycoin,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
BITBTC,bitBTC,2014-09-23,2015-03-10,2014-09-23,Newmine,1,103,2,269
DOPE,DopeCoin,2014-02-22,2014-01-21,2014-02-22,dopey,1,277,12,67
SDC,ShadowCash,2014-07-31,2014-08-18,2014-07-31,sdcoin,1,28,2,14
LSD,Lightspeed,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,SolarCoin,2014-03-29,2014-01-12,2014-03-29,sib01,1,19,1,76
SLG,Sterlingcoin,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
MCN,MonetaVerde,2014-08-25,2014-06-15,2014-08-25,cryptomidnight,1,105,3,71
NRB,Noirbits,2013-07-04,2013-05-30,2013-07-04,solracx,1,327,23,64
HUC,HunterCoin,2014-02-14,2013-01-01,2014-02-14,xorxor,1,492,13,409
LGD,LegendaryCoin,2014-04-28,2014-03-25,2014-04-28,legendarycoin,1,86,2,34
QB,Quarkbar,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
NRS,NoirShares,2014-04-20,2014-02-13,2014-04-20,barwizi,1,2065,151,347
XGR,GoldReserve,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
$$$,Money,2015-11-12,2011-08-04,2015-11-12,Blackout,1,79,7,1561
AXR,Axron,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
